state,x,y
Andhra Pradesh,-108,-201
Arunachal Pradesh,305,206
Assam,276,155
Bihar,88,125
Chhattisgarh,-23,-7
Delhi,-150,212
Goa,-240,-178
Gujarat,-304,44
Haryana,-172,232
Himachal Pradesh,-150,316
Jammu and Kashmir,-215,370
Jharkhand,66,66
Karnataka,-198,-209
Kerala,-174,-323
Ladakh,-142,395
Madhya Pradesh,-69,5
Maharashtra,-199,-60
Manipur,307,103
Meghalaya,232,124
Mizoram,282,57
Nagaland,322,146
Odisha,54,-27
Punjab,-196,283
Rajasthan,-246,157
Sikkim,156,183
Tamil Nadu,-119,-304
Telangana,-107,-109
Tripura,249,72
Uttar Pradesh,-61,165
Uttarakhand,-98,263
West Bengal,139,52
